"Species","1975","1976","1977","1978","1979","1980","1981","1982","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Canvasback",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099,0,0,0,0,0,0,0,0
"Redhead",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343,0,0,0,0,0,0,0,0,0.0092,0.0099,0,0,0,0
"Ring-necked Duck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4352,0,0,0.0081,0,0,0,0,0.0086,0,0.038,0,0,0.0181,0.0298,0,0,0,0,0,0,0,0
"Greater Scaup",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1451,0,0,0,0,0,0,0,0,0
"Lesser Scaup",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0829,0,0,0,0,0,0.0102,0,0,0,0,0,0,0,0,0,0,0,0.0197,0,0,0,0
"Greater/Lesser Scaup",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0394,0,0,0,0,0,0,0.0086,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Common Eider",0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Long-tailed Duck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0092,0.0296,0,0,0,0
"Bufflehead",0,0,0,0,0,0,0,0,0,0.0085,0,0,0,0.0103,0,0,0,0,0,0.0099,0,0,0,0,0,0.0081,0,0,0,0,0,0,0.0076,0,0.0095,0.0272,0.1985,0,0.0087,0.0368,0,0,0.0419,0.0348,0
"Common Goldeneye",0,0,0.0293,0.0305,0.1625,0.1039,0.0606,0.0357,0,0.2627,0.2066,0.0345,0,0.0103,0,0.019,0,0,0,0,0,0,0.0104,0,0.011,0,0,0.0089,0.0102,0.084,0.1113,0.1353,0.1065,0.0143,0.0758,0.2086,0,0.0751,0.0087,0.0184,0.0296,0,0.0671,0.0765,0.067
"Hooded Merganser",0.0206,0,0,0.0153,0,0,0,0,0,0.0085,0.0165,0,0,0,0,0,0,0,0,0,0,0,0,0.0099,0,0.065,0,0,0,0,0,0.0254,0,0,0.0095,0.0726,0.0993,0.0094,0.1304,0.1931,0.0296,0.0196,0,0.0417,0.0223
